MonPoint,Date,Latitude,Longitude,Northing,Easting,Elevation,Adj_Elevation,atan_E_N_,Rad2Deg
GDM-01_060519,05-Jun-2019,38.513620861,-112.916968568,4264546.6561,332867.9619,1584.047,1584.04092536,-1.56170566764882,-89.4791435979379
GDM-02_060519,05-Jun-2019,38.514039131,-112.896964669,4264556.9152,334613.68,1630.5789,1630.57313688,-1.17787524314493,-67.4872802251502
GDM-03_060519,05-Jun-2019,38.513138521,-112.880039558,4264426.6268,336087.8497,1700.5929,1700.5873776,-1.0506052856827,-60.1952488037548
GDM-04_060519,05-Jun-2019,38.50818112,-112.905131163,4263921.327,333887.9256,1615.4788,1615.4728528,-2.43676500277864,-139.616350324401
GDM-05_060519,05-Jun-2019,38.507715114,-112.891249696,4263844.6091,335097.7076,1662.2627,1662.2554076,-0.717705137374474,-41.1214753064143
GDM-06_060519,05-Jun-2019,38.507448369,-112.880350391,4263795.5074,336047.8258,1707.6846,1707.6764049,-1.69601190080704,-97.1743239202037
GDM-07_060519,05-Jun-2019,38.502981198,-112.908037282,4263349.327,333622.459,1611.6543,1611.64931568,-1.16336650224143,-66.6559906053305
GDM-08_060519,05-Jun-2019,38.503765726,-112.897612465,4263417.6098,334533.6521,1645.259,1645.25327936,-1.19780862248894,-68.6293787329952
GDM-09_060519,05-Jun-2019,38.502157436,-112.892248474,4263229.4327,334997.8958,1663.2316,1663.2264256379,-2.3955442578953,-137.2545756142
GDM-10_060519,05-Jun-2019,38.504320015,-112.888538924,4263462.8551,335326.4253,1654.2001,1654.19179516,-1.72082329496662,-98.5959120893835
GDM-11_060519,05-Jun-2019,38.501218663,-112.886397414,4263114.7361,335506.1742,1686.9366,1686.93222456,-2.65522171668261,-152.132998037394
GDM-12_060519,05-Jun-2019,38.499825198,-112.881079742,4262950.5474,335966.9025,1711.5611,1711.55726264,-1.84445561565934,-105.679522276484
GDM-13_060619,06-Jun-2019,38.49972909,-112.864157998,4262909.8329,337442.8935,1796.2134,1796.2092936,-2.06776491293896,-118.474202536639
GDM-14_060519,05-Jun-2019,38.495145409,-112.905791956,4262475.4011,333800.3095,1625.5411,1625.5392592,-1.35705749225462,-77.7536668627972
GDM-15_060519,05-Jun-2019,38.494111407,-112.897409406,4262345.5013,334529.2636,1656.2619,1656.25681656,-2.4484429292237,-140.285446223167
GDM-16_060519,05-Jun-2019,38.498181783,-112.889341068,4262782.8763,335242.4594,1679.1939,1679.18982192,-2.68825392000232,-154.025603875632
GDM-17_060519,05-Jun-2019,38.495794634,-112.878265485,4262498.0928,336203.277,1731.1174,1731.1115236,-2.44335172085947,-139.993741471274
GDM-18_060619,06-Jun-2019,38.49362592,-112.866939925,4262237.2328,337186.4587,1792.9294,1792.9276359,-1.96220148148636,-112.425863443486
GDM-19_060519,05-Jun-2019,38.488516747,-112.893162824,4261716.7981,334886.9772,1683.1998,1683.19525464,-2.7191202565579,-155.794114689297
GDM-20_060619,06-Jun-2019,38.487775307,-112.869599253,4261592.4595,336941.2513,1786.685,1786.68072368,3.07389958828455,176.121473055706